Ticker,Name,Buy Price,Date,Origin
AAPL,Apple Inc.,2024-06-24,DASH
AIG,American International Group,75.67,2024-06-24,DASH
AMD,Advanced Micro Devices,161.28,2024-06-24,DASH
AMZN,Amazon.com,182.84,2024-06-24,DASH
FNGU,MicroSectors FANG,464.93,2024-06-24,DASH
HAS,Hasbro,61.27,2024-06-24,DASH
LLY,Eli Lilly and Company,881.30,2024-06-24,DASH
LNW,Light & Wonder,102.81,2024-06-24,DASH
MU,Micron Technology,140.56,2024-06-24,DASH
OWL,Blue Owl Capital,10.11,2024-06-24,DASH
TNA,Direxion Small Cap Bull 3X Shar,38.61,2024-06-24,DASH
AGX,Argan,,2024-06-24,IBI
BABA,Alibaba Group Holding Limited,,2024-06-24,IBI
BITO,ProShares Bitcoin Strategy ETF,,2024-06-24,IBI
DAL,Delta Air Lines,,2024-06-24,IBI
ELV,Elevance Health,,2024-06-24,IBI
EMKR,EMCORE Corporation,,2024-06-24,IBI
F,Ford Motor Company,,2024-06-24,IBI
FNGG,Direxion Daily NYSE FANG+ Bull,,2024-06-24,IBI
MCK,McKesson Corporation,,2024-06-24,IBI
MXL,MaxLinear,,2024-06-24,IBI
NEE,NextEra Energy,,2024-06-24,IBI
NVEI,Nuvei Corporation,,2024-06-24,IBI
PAYO,Payoneer Global Inc,,2024-06-24,IBI
PSFE,Paysafe Limited,,2024-06-24,IBI
PSTG,Pure Storage,,2024-06-24,IBI
TMUS,T-Mobile US,,2024-06-24,IBI
TQQQ,ProShares UltraPro QQQ,,2024-06-24,IBI
SOXL,Direxion Daily Semiconductor Bull 3X Shares,65.9,2024-07-09,IBI